text,label
Government announces free education for all students,REAL
Aliens landed in India and met politicians,FAKE
Scientists discover cure for cancer,REAL
Moon is made of chocolate according to researchers,FAKE
India launches new satellite successfully,REAL
Drinking petrol cures diseases,FAKE
NASA discovers water on Mars,REAL
Invisible humans found in forest,FAKE
New railway line inaugurated in Delhi,REAL
Scientists invent flying bicycles,FAKE
Prime Minister announces new healthcare scheme,REAL
People can live without sleep for 50 days,FAKE
Heavy rainfall expected in southern India,REAL
Eating only ice cream helps lose weight instantly,FAKE
Government reduces fuel prices this month,REAL
Dinosaurs found alive in Amazon forest,FAKE
New AI technology helps doctors detect cancer,REAL
Humans can breathe underwater naturally,FAKE
Indian cricket team wins international match,REAL
Magic pill makes students pass exams instantly,FAKE
WHO releases new health guidelines,REAL
People found living on the moon,FAKE
New electric buses launched in Bangalore,REAL
Scientists confirm dragons once lived in Asia,FAKE
ISRO plans new moon mission,REAL
Coconut water cures every disease instantly,FAKE
Schools reopen after summer holidays,REAL
Time travel machine tested successfully,FAKE
Government launches digital scholarship portal,REAL
Man claims to survive without food for 10 years,FAKE
Researchers discover new medicine for diabetes,REAL
Scientists discover hidden city under ocean,FAKE
Hospitals receive new medical equipment,REAL
Talking animals found in Europe,FAKE
New law introduced for road safety,REAL
People can become invisible by drinking juice,FAKE
India reports increase in renewable energy use,REAL
Scientists create teleportation device,FAKE
Universities introduce new AI courses,REAL
Man flies naturally without machine,FAKE
Government opens new public hospitals,REAL
Scientists prove ghosts are real,FAKE
NASA launches new space telescope,REAL
Chocolate cures all diseases permanently,FAKE
Weather department predicts cyclone near coast,REAL
Secret portal to another planet discovered,FAKE
Researchers develop advanced cancer treatment,REAL
Sleeping only one hour increases intelligence instantly,FAKE
New employment opportunities announced,REAL
Aliens secretly controlling world governments,FAKE